pk,card_id,card_name,card_brand,card_in_out_1,card_in_out_2,card_in_out_3,card_img,card_record,card_overseas
131,136,가온 워킹업카드,KB국민카드,"해외겸용 15,000",,,https://api.card-gorilla.com:8080/storage/card/136/card_img/20364/136card.png,전월실적 없음,mastercard
132,137,탄탄대로 Miz&Mr카드,KB국민카드,"국내전용 15,000","해외겸용 15,000",,https://api.card-gorilla.com:8080/storage/card/137/card_img/20365/137card.png,전월실적40 만원 이상,mastercard
133,138,스카이패스 KB국민카드,KB국민카드,"해외겸용 15,000",,,https://api.card-gorilla.com:8080/storage/card/138/card_img/20366/138card.png,전월실적 없음,VISA | mastercard | JCB
134,139,아시아나항공 KB국민카드,KB국민카드,"국내전용 13,000","해외겸용 15,000",,https://api.card-gorilla.com:8080/storage/card/139/card_img/20367/139card.png,전월실적 없음,VISA | mastercard
135,140,S-OIL LPG KB국민카드,KB국민카드,"국내전용 5,000","해외겸용 10,000",,https://api.card-gorilla.com:8080/storage/card/140/card_img/20368/140card.png,전월실적30 만원 이상,VISA | mastercard
136,141,KB국민 펫코노미 카드,KB국민카드,"국내전용 30,000","해외겸용 30,000",,https://api.card-gorilla.com:8080/storage/card/141/card_img/20369/141card.png,전월실적30 만원 이상,mastercard
137,142,톡톡 Pay카드,KB국민카드,"국내전용 20,000","해외겸용 20,000",,https://api.card-gorilla.com:8080/storage/card/142/card_img/20370/142card.png,전월실적40 만원 이상,mastercard
138,143,청춘대로 꿀맛α카드,KB국민카드,"국내전용 15,000","해외겸용 15,000",,https://api.card-gorilla.com:8080/storage/card/143/card_img/20371/143card.png,전월실적40 만원 이상,mastercard
139,144,청춘대로 꿀잠α카드,KB국민카드,"국내전용 15,000","해외겸용 15,000",,https://api.card-gorilla.com:8080/storage/card/144/card_img/23904/144card.png,전월실적40 만원 이상,mastercard
140,145,청춘대로 꿀잼α카드,KB국민카드,"국내전용 15,000","해외겸용 15,000",,https://api.card-gorilla.com:8080/storage/card/145/card_img/23905/145card.png,전월실적40 만원 이상,mastercard
141,146,The Easy카드,KB국민카드,"국내전용 15,000","해외겸용 15,000",,https://api.card-gorilla.com:8080/storage/card/146/card_img/20372/146card.png,전월실적 없음,mastercard
142,147,레일포인트 KB국민카드,KB국민카드,"해외겸용 19,000",,,https://api.card-gorilla.com:8080/storage/card/147/card_img/23906/147card.png,전월실적30 만원 이상,mastercard
143,148,삼성페이 KB국민카드,KB국민카드,"해외겸용 15,000",,,https://api.card-gorilla.com:8080/storage/card/148/card_img/20374/148card.png,전월실적40 만원 이상,mastercard
